samples,mean_var,std_var,abs_err
100,0.014829673467355633,0.0022832904871477795,0.0018480319861350618
144,0.014872470286719817,0.0018103343426963696,0.0015016924786384763
207,0.015014501544557763,0.0016141994684897186,0.0013160572626002215
298,0.015104845596328142,0.0012447804580707448,0.0009979767271672694
428,0.015287924237204114,0.001049141279030842,0.0008082756813006372
616,0.01521455459341997,0.0009080330236329024,0.0007451154966412524
886,0.015159855119696633,0.000715786813179602,0.0005805832213248599
1274,0.01519728716554642,0.0006333474291855727,0.0004902432094379499
1833,0.015176774709423165,0.0004951475169859971,0.000393671506739104
2637,0.015194325516593929,0.0004770474353713901,0.0003976151041987251
3793,0.015204064002702307,0.0003516399608070789,0.00029647140729382126
5456,0.01519606386643687,0.0002874556381104517,0.00024305266086108965
7848,0.015248460232149253,0.0002625577675219644,0.00021599474472284622
11288,0.015212449850475332,0.0002103226213579312,0.00017460615283327802
16238,0.01524606711618375,0.00018283823315734301,0.00014233672931082399
23357,0.015245367496580349,0.00014770998439141635,0.0001232666319688397
33598,0.015228132980064424,0.00011208565459409839,9.685277823175162e-05
48329,0.015239832252511902,0.00010230469476185139,8.623932844800165e-05
69519,0.015242535696286641,8.444614426403652e-05,7.374910237375311e-05
100000,0.015238579363004488,7.112975384060385e-05,6.3578566317957e-05
